,UR,CPI,FFIR,TBILL,TBON,ER,GDP,date
109,7.1666665,109.03333,6.92,6.21,6.73,150.85,85.0508,1986-04-01
110,6.9666667,109.7,5.89,5.21,5.77,146.98,85.6048,1986-07-01
111,6.8333335,110.46667,6.91,5.53,5.87,143.93,86.7212,1986-10-01
112,6.6,111.9,6.13,5.59,6.03,159.23,87.1465,1987-01-01
113,6.266667,113.166664,6.73,5.67,6.8,162.88,87.5783,1987-04-01
114,6.0,114.36667,7.22,6.4,7.67,164.46,89.1426,1987-07-01
115,5.8333335,115.433334,6.77,5.77,7.17,182.88,91.0798,1987-10-01
116,5.7,116.3,6.58,5.7,6.71,183.3,92.5942,1988-01-01
117,5.4666667,117.63333,7.51,6.46,7.49,177.68,93.2352,1988-04-01
118,5.4666667,119.066666,8.19,7.24,8.09,168.4,95.1106,1988-07-01
119,5.3333335,120.4,8.76,8.07,8.99,182.58,96.2846,1988-10-01
120,5.2,121.76667,9.85,8.82,9.57,171.34,97.5208,1989-01-01
121,5.233333,123.7,9.53,8.15,8.44,155.3,97.3877,1989-04-01
122,5.233333,124.7,9.02,7.75,8.22,157.15,99.3666,1989-07-01
123,5.366667,125.933334,8.45,7.63,7.72,159.65,100.603,1989-10-01
124,5.3,128.1,8.28,7.9,8.35,162.45,100.984,1990-01-01
125,5.3333335,129.4,8.29,7.73,8.1,171.03,103.155,1990-04-01
126,5.7,131.63333,8.2,7.36,7.76,187.94,104.357,1990-07-01
127,6.133333,133.86667,7.31,6.74,7.05,192.19,105.641,1990-10-01
128,6.6,134.86667,6.12,5.91,6.4,182.14,106.774,1991-01-01
129,6.8333335,135.66667,5.9,5.57,6.36,164.97,107.437,1991-04-01
130,6.866667,136.7,5.45,5.22,5.57,172.65,107.783,1991-07-01
131,7.1,137.83333,4.43,4.07,4.38,182.72,108.653,1991-10-01
132,7.366667,138.76666,3.98,4.04,4.63,172.38,109.295,1992-01-01
133,7.6,139.83333,3.76,3.66,4.17,185.51,108.96,1992-04-01
134,7.633333,140.9,3.22,2.91,3.18,184.65,108.446,1992-07-01
135,7.366667,142.13333,2.92,3.22,3.71,155.1,108.467,1992-10-01
136,7.133333,143.13333,3.07,2.95,3.33,146.17,108.565,1993-01-01
137,7.0666666,144.2,3.04,3.07,3.54,150.82,108.947,1993-04-01
138,6.8,144.86667,3.09,2.95,3.36,152.48,109.108,1993-07-01
139,6.633333,146.03334,2.96,3.06,3.61,149.13,108.979,1993-10-01
140,6.5666666,146.8,3.34,3.5,4.32,149.19,108.976,1994-01-01
141,6.2,147.63333,4.25,4.14,5.27,152.62,109.537,1994-04-01
142,6.0,149.0,4.73,4.62,5.76,156.61,110.209,1994-07-01
143,5.633333,149.86667,5.45,5.6,7.14,155.87,109.905,1994-10-01
144,5.4666667,150.96666,5.98,5.73,6.43,160.02,109.329,1995-01-01
145,5.6666665,152.2,6.0,5.47,5.64,159.48,111.025,1995-04-01
146,5.6666665,152.96666,5.8,5.28,5.62,155.9,111.748,1995-07-01
147,5.5666666,153.86667,5.6,5.14,5.31,154.05,112.571,1995-10-01
148,5.5333333,155.16667,5.31,4.96,5.34,152.71,115.556,1996-01-01
149,5.5,156.5,5.27,5.09,5.81,154.16,115.665,1996-04-01
150,5.266667,157.4,5.3,5.09,5.83,155.93,115.197,1996-07-01
151,5.3333335,158.76666,5.29,4.91,5.47,166.39,116.425,1996-10-01
152,5.266667,159.76666,5.39,5.14,5.8,160.96,118.765,1997-01-01
153,5.0,160.13333,5.56,4.93,5.69,164.49,115.488,1997-04-01
154,4.866667,160.86667,5.54,4.95,5.52,160.13,116.388,1997-07-01
155,4.6666665,161.76666,5.5,5.16,5.53,165.97,115.957,1997-10-01
156,4.6666665,162.16667,5.49,5.03,5.39,166.19,116.164,1998-01-01
157,4.4333334,162.66667,5.56,4.98,5.41,165.04,115.322,1998-04-01
158,4.5,163.4,5.51,4.61,4.71,168.23,114.988,1998-07-01
159,4.4333334,164.2,4.68,4.39,4.52,167.08,114.035,1998-10-01
160,4.3,164.86667,4.81,4.44,4.78,162.13,116.288,1999-01-01
161,4.3,166.03334,4.76,4.57,5.1,159.5,116.408,1999-04-01
162,4.233333,167.2,5.22,4.68,5.25,162.47,,1999-07-01
163,4.1,168.53334,5.3,5.2,5.84,161.32,,1999-10-01
164,4.0333333,170.26666,5.85,5.69,6.22,157.99,,2000-01-01
165,4.0333333,171.53334,6.53,5.69,6.17,150.92,,2000-04-01
166,4.0,173.03334,6.52,6.0,6.13,143.36,,2000-07-01
167,3.9666667,174.26666,6.4,5.77,5.6,146.29,,2000-10-01
